"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","22-May-2019","       1339.80","       1345.65","       1359.70","       1335.10","       1344.00","       1340.40","       1345.18","   11287400","         15183604296.75","     210505","    4593115","         40.69"
"RELIANCE","EQ","23-May-2019","       1340.40","       1372.00","       1392.00","       1325.00","       1336.00","       1333.90","       1364.45","   17722514","         24181412649.75","     328622","    5356239","         30.22"
"RELIANCE","EQ","24-May-2019","       1333.90","       1348.00","       1353.80","       1316.50","       1338.00","       1336.85","       1334.73","   10180759","         13588548475.00","     237096","    2740195","         26.92"
"RELIANCE","EQ","27-May-2019","       1336.85","       1337.10","       1337.50","       1307.00","       1313.20","       1310.65","       1322.83","    7349720","          9722442982.45","     161412","    2344542","         31.90"
"RELIANCE","EQ","28-May-2019","       1310.65","       1319.80","       1334.80","       1313.35","       1330.00","       1323.75","       1323.88","   19472659","         25779560282.20","     327818","    9947020","         51.08"
"RELIANCE","EQ","29-May-2019","       1323.75","       1321.00","       1333.30","       1304.15","       1315.60","       1313.05","       1321.09","    7112830","          9396655635.10","     183211","    1983629","         27.89"
"RELIANCE","EQ","30-May-2019","       1313.05","       1316.25","       1342.00","       1316.25","       1330.00","       1329.75","       1329.55","   10740841","         14280455587.50","     198892","    3938278","         36.67"
"RELIANCE","EQ","31-May-2019","       1329.75","       1337.90","       1341.90","       1320.20","       1330.10","       1330.15","       1330.68","   11760178","         15649085825.90","     203751","    4867709","         41.39"
"RELIANCE","EQ","03-Jun-2019","       1330.15","       1335.00","       1367.25","       1321.20","       1364.00","       1360.20","       1344.47","    8483610","         11405935737.70","     168454","    3426100","         40.38"
"RELIANCE","EQ","04-Jun-2019","       1360.20","       1357.45","       1374.25","       1348.10","       1353.00","       1351.65","       1358.17","    7059911","          9588561364.55","     167875","    1999768","         28.33"
"RELIANCE","EQ","06-Jun-2019","       1351.65","       1361.90","       1361.90","       1321.10","       1326.15","       1327.35","       1335.47","    7664319","         10235481154.25","     199549","    3562547","         46.48"
"RELIANCE","EQ","07-Jun-2019","       1327.35","       1325.95","       1327.25","       1305.60","       1311.00","       1314.90","       1314.55","    6730595","          8847672552.55","     180263","    1966742","         29.22"
"RELIANCE","EQ","10-Jun-2019","       1314.90","       1320.90","       1327.00","       1310.10","       1320.50","       1319.15","       1319.50","    5380148","          7099110099.90","     151279","    1985597","         36.91"
"RELIANCE","EQ","11-Jun-2019","       1319.15","       1321.85","       1334.50","       1318.00","       1329.55","       1329.15","       1327.51","    5253790","          6974448670.10","     136433","    1979424","         37.68"
"RELIANCE","EQ","12-Jun-2019","       1329.15","       1334.70","       1338.40","       1325.00","       1333.20","       1332.15","       1332.57","    4707716","          6273369871.65","     125940","    1470130","         31.23"
"RELIANCE","EQ","13-Jun-2019","       1332.15","       1330.00","       1334.70","       1308.65","       1323.65","       1327.25","       1322.47","    7171189","          9483684624.55","     190475","    3440145","         47.97"
"RELIANCE","EQ","14-Jun-2019","       1327.25","       1321.90","       1325.00","       1309.40","       1320.00","       1317.55","       1316.01","    6831331","          8990093261.80","     153945","    3520760","         51.54"
"RELIANCE","EQ","17-Jun-2019","       1317.55","       1320.00","       1320.00","       1278.50","       1282.25","       1282.30","       1291.90","    6815554","          8805027720.80","     180983","    2875500","         40.83"
"RELIANCE","EQ","18-Jun-2019","       1282.30","       1278.90","       1287.95","       1269.10","       1278.50","       1281.00","       1279.90","    7679193","          9828580499.75","     176329","    3400661","         42.70"
"RELIANCE","EQ","19-Jun-2019","       1281.00","       1286.90","       1302.00","       1262.60","       1282.00","       1277.35","       1284.31","    6625604","          8509322279.65","     179058","    2254672","         34.03"
"RELIANCE","EQ","20-Jun-2019","       1277.35","       1280.00","       1300.00","       1278.00","       1299.90","       1296.75","       1288.38","    4914012","          6331138795.25","     120935","    1864061","         37.93"
"RELIANCE","EQ","21-Jun-2019","       1296.75","       1295.95","       1296.00","       1275.55","       1278.70","       1279.50","       1282.04","   10623098","         13619185209.45","     153633","    7333771","         69.04"
"RELIANCE","EQ","24-Jun-2019","       1279.50","       1272.15","       1276.45","       1257.10","       1261.85","       1262.40","       1264.03","    5150998","          6511020816.90","     149137","    2132564","         41.40"
"RELIANCE","EQ","25-Jun-2019","       1262.40","       1258.90","       1298.00","       1254.25","       1295.40","       1295.85","       1281.36","    6842363","          8767510682.55","     157350","    2090674","         30.55"
"RELIANCE","EQ","26-Jun-2019","       1295.85","       1291.00","       1304.60","       1286.35","       1291.90","       1294.15","       1295.88","    5299942","          6868096871.60","     137376","    1423008","         26.85"
"RELIANCE","EQ","27-Jun-2019","       1294.15","       1293.15","       1296.90","       1271.00","       1276.00","       1274.15","       1281.11","   11385972","         14586656140.85","     213461","    6117120","         53.73"
"RELIANCE","EQ","28-Jun-2019","       1274.15","       1277.10","       1282.85","       1248.65","       1254.00","       1253.10","       1261.89","    8659721","         10927608370.85","     212372","    4949244","         57.15"
"RELIANCE","EQ","01-Jul-2019","       1253.10","       1258.05","       1272.65","       1246.45","       1268.90","       1268.85","       1263.04","    6162080","          7782945942.60","     145700","    1723543","         27.97"
"RELIANCE","EQ","02-Jul-2019","       1268.85","       1273.95","       1281.00","       1263.30","       1279.00","       1278.50","       1272.92","    4638751","          5904738864.35","     128065","    1426211","         30.75"
"RELIANCE","EQ","03-Jul-2019","       1278.50","       1282.90","       1286.50","       1275.05","       1282.00","       1282.55","       1281.62","    4026032","          5159834855.00","     144904","    1524004","         37.85"
"RELIANCE","EQ","04-Jul-2019","       1282.55","       1281.40","       1291.00","       1280.00","       1284.00","       1284.00","       1285.90","    4275148","          5497406372.30","     104947","    1731027","         40.49"
"RELIANCE","EQ","05-Jul-2019","       1284.00","       1285.10","       1290.50","       1260.00","       1262.90","       1263.35","       1275.14","    4995344","          6369748471.75","     128927","    1898594","         38.01"
"RELIANCE","EQ","08-Jul-2019","       1263.35","       1258.00","       1268.10","       1248.20","       1252.50","       1252.05","       1256.53","    6404544","          8047480741.55","     230442","    2846182","         44.44"
"RELIANCE","EQ","09-Jul-2019","       1252.05","       1248.95","       1283.50","       1245.50","       1283.00","       1280.10","       1272.67","    8016757","         10202649425.75","     190477","    3696748","         46.11"
"RELIANCE","EQ","10-Jul-2019","       1280.10","       1280.05","       1289.35","       1268.70","       1277.10","       1278.85","       1277.53","    5494315","          7019145793.25","     189719","    2127946","         38.73"
"RELIANCE","EQ","11-Jul-2019","       1278.85","       1287.00","       1289.80","       1279.30","       1280.50","       1281.55","       1284.68","    3935460","          5055815447.80","     135350","    1678654","         42.65"
"RELIANCE","EQ","12-Jul-2019","       1281.55","       1283.00","       1300.00","       1278.05","       1278.55","       1280.50","       1292.37","    7174054","          9271567813.15","     170857","    2943891","         41.04"
"RELIANCE","EQ","15-Jul-2019","       1280.50","       1285.00","       1289.50","       1270.35","       1276.50","       1276.10","       1276.79","    4873164","          6221997657.85","     115484","    2806704","         57.60"
"RELIANCE","EQ","16-Jul-2019","       1276.10","       1279.95","       1294.90","       1277.05","       1292.10","       1293.00","       1285.92","    4604019","          5920407971.15","     143941","    2151811","         46.74"
"RELIANCE","EQ","17-Jul-2019","       1293.00","       1294.30","       1297.00","       1280.00","       1280.50","       1281.85","       1287.12","    4334958","          5579597026.25","     125052","    2124452","         49.01"
"RELIANCE","EQ","18-Jul-2019","       1281.85","       1282.00","       1286.40","       1258.00","       1264.90","       1261.85","       1269.25","    5459896","          6929997086.75","     154201","    3041238","         55.70"
"RELIANCE","EQ","19-Jul-2019","       1261.85","       1268.20","       1272.95","       1242.70","       1253.00","       1249.00","       1256.85","    7468515","          9386768752.40","     218081","    3573381","         47.85"
"RELIANCE","EQ","22-Jul-2019","       1249.00","       1251.00","       1284.50","       1227.30","       1278.10","       1280.50","       1262.08","   13300153","         16785913907.15","     324798","    4610837","         34.67"
"RELIANCE","EQ","23-Jul-2019","       1280.50","       1285.00","       1293.90","       1260.40","       1275.00","       1273.55","       1281.65","    9287951","         11903864962.00","     231082","    4500528","         48.46"
"RELIANCE","EQ","24-Jul-2019","       1273.55","       1273.50","       1278.80","       1253.55","       1260.00","       1259.10","       1261.14","    6943982","          8757320632.30","     214822","    4092320","         58.93"
"RELIANCE","EQ","25-Jul-2019","       1259.10","       1264.00","       1269.05","       1227.00","       1235.00","       1231.50","       1245.25","    9968545","         12413340499.80","     224275","    4147870","         41.61"
"RELIANCE","EQ","26-Jul-2019","       1231.50","       1231.50","       1242.50","       1210.00","       1217.00","       1213.80","       1222.79","    9320481","         11396954499.55","     247585","    3725754","         39.97"
"RELIANCE","EQ","29-Jul-2019","       1213.80","       1216.90","       1222.00","       1205.10","       1211.40","       1210.95","       1212.37","    8058035","          9769288352.70","     209633","    4222688","         52.40"
"RELIANCE","EQ","30-Jul-2019","       1210.95","       1213.95","       1220.00","       1175.95","       1177.60","       1180.90","       1199.24","    9533344","         11432780838.55","     230470","    5042852","         52.90"
"RELIANCE","EQ","31-Jul-2019","       1180.90","       1175.75","       1185.00","       1162.40","       1165.20","       1166.25","       1173.86","    9705619","         11393035591.95","     291399","    5616490","         57.87"
"RELIANCE","EQ","01-Aug-2019","       1166.25","       1163.40","       1188.20","       1150.35","       1185.75","       1180.25","       1163.85","   10344862","         12039909016.90","     299918","    5120707","         49.50"
"RELIANCE","EQ","02-Aug-2019","       1180.25","       1175.70","       1198.25","       1162.10","       1183.55","       1184.35","       1181.63","   10865385","         12838863669.00","     279007","    5009673","         46.11"
"RELIANCE","EQ","05-Aug-2019","       1184.35","       1167.00","       1167.00","       1128.00","       1141.00","       1143.35","       1143.81","   13897461","         15896018245.25","     331944","    7353421","         52.91"
"RELIANCE","EQ","06-Aug-2019","       1143.35","       1134.75","       1149.60","       1122.00","       1122.35","       1128.30","       1137.27","   13288909","         15113039872.55","     313122","    7029679","         52.90"
"RELIANCE","EQ","07-Aug-2019","       1128.30","       1126.50","       1138.55","       1103.10","       1104.40","       1109.40","       1118.77","   11588879","         12965339878.15","     328317","    4677011","         40.36"
"RELIANCE","EQ","08-Aug-2019","       1109.40","       1108.35","       1158.00","       1095.30","       1156.65","       1152.35","       1124.86","   14262936","         16043824121.40","     296960","    6323162","         44.33"
"RELIANCE","EQ","09-Aug-2019","       1152.35","       1161.85","       1175.50","       1152.30","       1161.00","       1162.10","       1166.33","   10043949","         11714585302.95","     251552","    3975739","         39.58"
"RELIANCE","EQ","13-Aug-2019","       1162.10","       1233.15","       1302.80","       1226.00","       1275.30","       1274.75","       1274.80","   47923444","         61092901703.60","     855344","   17737691","         37.01"
"RELIANCE","EQ","14-Aug-2019","       1274.75","       1304.00","       1304.45","       1280.35","       1288.00","       1288.25","       1292.12","   14487137","         18719162022.30","     317664","    5340545","         36.86"
"RELIANCE","EQ","16-Aug-2019","       1288.25","       1291.20","       1291.80","       1273.00","       1278.50","       1278.00","       1280.75","   10047496","         12868358693.55","     274722","    5383619","         53.58"
"RELIANCE","EQ","19-Aug-2019","       1278.00","       1281.05","       1296.80","       1280.00","       1290.00","       1292.60","       1289.52","    7459859","          9619648793.30","     210583","    3445959","         46.19"
"RELIANCE","EQ","20-Aug-2019","       1292.60","       1289.80","       1292.60","       1272.60","       1278.55","       1275.95","       1280.83","    6843460","          8765276621.40","     167203","    3120955","         45.60"
"RELIANCE","EQ","21-Aug-2019","       1275.95","       1275.65","       1278.65","       1266.50","       1271.05","       1270.95","       1271.42","    4881553","          6206485612.30","     131602","    1910801","         39.14"
"RELIANCE","EQ","22-Aug-2019","       1270.95","       1270.95","       1271.00","       1238.90","       1244.20","       1246.75","       1251.88","    6414937","          8030748574.15","     178072","    2560780","         39.92"
"RELIANCE","EQ","23-Aug-2019","       1246.75","       1239.00","       1284.00","       1226.50","       1276.00","       1275.85","       1258.18","    9741262","         12256262869.05","     216956","    3046594","         31.28"
"RELIANCE","EQ","26-Aug-2019","       1275.85","       1294.00","       1294.00","       1259.00","       1265.00","       1266.80","       1274.20","    8778739","         11185873443.45","     238915","    3902952","         44.46"
"RELIANCE","EQ","27-Aug-2019","       1266.80","       1285.00","       1285.00","       1261.20","       1274.35","       1274.85","       1272.49","   12984396","         16522569647.40","     271002","    7846459","         60.43"
"RELIANCE","EQ","28-Aug-2019","       1274.85","       1273.75","       1281.00","       1256.05","       1260.05","       1263.30","       1266.27","    5305639","          6718393214.85","     132293","    1838944","         34.66"
"RELIANCE","EQ","29-Aug-2019","       1263.30","       1256.45","       1260.25","       1235.30","       1242.05","       1241.75","       1247.45","    8635974","         10772946075.15","     161172","    4042596","         46.81"
"RELIANCE","EQ","30-Aug-2019","       1241.75","       1245.50","       1254.40","       1221.00","       1253.00","       1248.55","       1237.50","   11308120","         13993833782.95","     258498","    5345295","         47.27"
"RELIANCE","EQ","03-Sep-2019","       1248.55","       1242.25","       1243.00","       1200.00","       1200.45","       1206.40","       1222.13","    8563009","         10465120848.25","     199762","    3923254","         45.82"
"RELIANCE","EQ","04-Sep-2019","       1206.40","       1200.55","       1205.25","       1186.05","       1202.40","       1201.15","       1196.00","   15063355","         18015841145.20","     267845","    7565881","         50.23"
"RELIANCE","EQ","05-Sep-2019","       1201.15","       1206.80","       1213.20","       1193.30","       1193.40","       1198.60","       1202.70","   10512763","         12643724990.60","     191114","    3254760","         30.96"
"RELIANCE","EQ","06-Sep-2019","       1198.60","       1203.00","       1229.00","       1195.25","       1220.50","       1222.50","       1215.37","   10600234","         12883178005.55","     211038","    3398248","         32.06"
"RELIANCE","EQ","09-Sep-2019","       1222.50","       1220.65","       1233.00","       1213.15","       1221.70","       1222.20","       1224.14","    5370758","          6574555885.10","     126178","    1201029","         22.36"
"RELIANCE","EQ","11-Sep-2019","       1222.20","       1222.50","       1240.00","       1222.50","       1232.05","       1234.40","       1233.81","    5544468","          6840842136.55","     141564","    1711218","         30.86"
"RELIANCE","EQ","12-Sep-2019","       1234.40","       1235.00","       1240.45","       1205.70","       1211.50","       1210.35","       1222.41","    5431139","          6639105042.15","     133763","    1784319","         32.85"
"RELIANCE","EQ","13-Sep-2019","       1210.35","       1212.00","       1228.50","       1206.90","       1226.70","       1225.60","       1216.36","    5919260","          7199926784.00","     156260","    1873608","         31.65"
"RELIANCE","EQ","16-Sep-2019","       1225.60","       1189.00","       1219.10","       1186.10","       1210.60","       1210.75","       1205.64","    9393731","         11325440052.65","     185168","    3647917","         38.83"
"RELIANCE","EQ","17-Sep-2019","       1210.75","       1211.00","       1211.00","       1193.50","       1196.95","       1197.45","       1201.83","    7150435","          8593600264.15","     166672","    3189652","         44.61"
"RELIANCE","EQ","18-Sep-2019","       1197.45","       1204.95","       1216.30","       1197.20","       1209.00","       1205.70","       1205.99","    6827281","          8233652161.85","     202069","    2038379","         29.86"
"RELIANCE","EQ","19-Sep-2019","       1205.70","       1207.85","       1209.70","       1172.65","       1179.00","       1179.05","       1189.50","    6293454","          7486075536.90","     175486","    1834750","         29.15"
"RELIANCE","EQ","20-Sep-2019","       1179.05","       1187.95","       1269.90","       1174.30","       1254.35","       1254.35","       1238.40","   22019674","         27269067451.95","     392062","    9257860","         42.04"
"RELIANCE","EQ","23-Sep-2019","       1254.35","       1274.15","       1281.00","       1235.00","       1236.35","       1239.20","       1249.95","    9879751","         12349237345.35","     218447","    3446361","         34.88"
"RELIANCE","EQ","24-Sep-2019","       1239.20","       1243.60","       1298.80","       1242.75","       1277.50","       1278.70","       1282.47","   15982067","         20496560837.95","     378923","    5249582","         32.85"
"RELIANCE","EQ","25-Sep-2019","       1278.70","       1284.00","       1295.00","       1268.85","       1280.60","       1279.55","       1284.48","    8316894","         10682857321.35","     213332","    2502977","         30.10"
"RELIANCE","EQ","26-Sep-2019","       1279.55","       1292.00","       1298.80","       1283.50","       1296.50","       1296.80","       1293.25","    8389212","         10849310880.15","     186669","    3376852","         40.25"
"RELIANCE","EQ","27-Sep-2019","       1296.80","       1292.50","       1315.00","       1284.00","       1307.50","       1309.05","       1307.46","    8712980","         11391851165.90","     216408","    2511179","         28.82"
"RELIANCE","EQ","30-Sep-2019","       1309.05","       1310.00","       1335.75","       1305.55","       1333.40","       1332.25","       1322.09","   11549746","         15269859906.95","     288338","    5500331","         47.62"
"RELIANCE","EQ","01-Oct-2019","       1332.25","       1337.00","       1342.00","       1293.30","       1303.70","       1304.90","       1320.17","    8192597","         10815596238.60","     199164","    2523507","         30.80"
"RELIANCE","EQ","03-Oct-2019","       1304.90","       1286.00","       1314.70","       1281.30","       1311.60","       1311.05","       1305.35","    6183107","          8071137689.55","     160832","    2530785","         40.93"
"RELIANCE","EQ","04-Oct-2019","       1311.05","       1319.90","       1328.60","       1303.85","       1307.75","       1308.10","       1318.17","    6853954","          9034653711.65","     185130","    3099523","         45.22"
"RELIANCE","EQ","07-Oct-2019","       1308.10","       1308.10","       1320.80","       1301.70","       1308.90","       1310.10","       1312.08","    4599818","          6035333161.85","     121109","    1835479","         39.90"
"RELIANCE","EQ","09-Oct-2019","       1310.10","       1308.70","       1329.95","       1292.50","       1328.70","       1324.75","       1309.53","    8040938","         10529814619.00","     182007","    3984784","         49.56"
"RELIANCE","EQ","10-Oct-2019","       1324.75","       1325.00","       1369.00","       1321.00","       1360.15","       1362.75","       1356.95","   16003744","         21716222025.70","     375692","    8609946","         53.80"
"RELIANCE","EQ","11-Oct-2019","       1362.75","       1363.70","       1365.60","       1336.55","       1350.10","       1352.60","       1352.25","    7587648","         10260367694.55","     224923","    3400105","         44.81"
"RELIANCE","EQ","14-Oct-2019","       1352.60","       1364.95","       1364.95","       1350.85","       1356.90","       1358.00","       1358.27","    6123412","          8317237658.80","     118992","    3590983","         58.64"
"RELIANCE","EQ","15-Oct-2019","       1358.00","       1362.50","       1370.00","       1354.30","       1364.15","       1364.15","       1364.34","    4422075","          6033214998.55","     144636","    2043101","         46.20"
"RELIANCE","EQ","16-Oct-2019","       1364.15","       1369.90","       1379.65","       1363.70","       1374.50","       1372.35","       1371.43","    8870701","         12165579723.75","     183051","    5663142","         63.84"
"RELIANCE","EQ","17-Oct-2019","       1372.35","       1375.00","       1399.00","       1372.00","       1394.95","       1396.50","       1384.72","    7332464","         10153421509.85","     164517","    3665912","         50.00"
"RELIANCE","EQ","18-Oct-2019","       1396.50","       1404.00","       1427.90","       1398.70","       1416.00","       1416.35","       1416.38","   12856410","         18209582125.50","     228083","    5482520","         42.64"
"RELIANCE","EQ","22-Oct-2019","       1416.35","       1425.00","       1436.85","       1403.35","       1417.40","       1414.15","       1420.93","   12703054","         18050195873.65","     317936","    4811890","         37.88"
"RELIANCE","EQ","23-Oct-2019","       1414.15","       1416.30","       1425.95","       1383.15","       1394.00","       1392.40","       1403.41","    8432964","         11834877910.65","     214712","    3936577","         46.68"
"RELIANCE","EQ","24-Oct-2019","       1392.40","       1401.00","       1441.40","       1386.55","       1435.10","       1436.45","       1415.13","   10351384","         14648603629.25","     247194","    3772686","         36.45"
"RELIANCE","EQ","25-Oct-2019","       1436.45","       1441.10","       1441.45","       1411.25","       1428.25","       1431.20","       1426.02","    6190013","          8827068858.25","     163477","    1995488","         32.24"
"RELIANCE","EQ","27-Oct-2019","       1431.20","       1441.00","       1445.00","       1430.00","       1435.50","       1434.25","       1437.86","    1378313","          1981825201.00","      39531","     347306","         25.20"
"RELIANCE","EQ","29-Oct-2019","       1434.25","       1445.50","       1480.00","       1442.10","       1470.10","       1467.05","       1465.55","   11780494","         17264861676.35","     321298","    6278189","         53.29"
"RELIANCE","EQ","30-Oct-2019","       1467.05","       1480.00","       1484.55","       1460.30","       1482.60","       1479.10","       1471.89","    7470723","         10996072295.65","     259287","    4052278","         54.24"
"RELIANCE","EQ","31-Oct-2019","       1479.10","       1484.00","       1489.65","       1461.70","       1465.10","       1464.35","       1471.86","    8898168","         13096851142.35","     193629","    4972388","         55.88"
"RELIANCE","EQ","01-Nov-2019","       1464.35","       1455.00","       1461.80","       1441.00","       1456.15","       1456.90","       1451.60","    6356579","          9227241717.35","     236195","    3504112","         55.13"
"RELIANCE","EQ","04-Nov-2019","       1456.90","       1465.90","       1471.00","       1445.10","       1460.65","       1457.65","       1456.28","    6429329","          9362882583.55","     203644","    3603931","         56.05"
"RELIANCE","EQ","05-Nov-2019","       1457.65","       1463.10","       1468.95","       1441.00","       1447.50","       1447.30","       1449.21","    5799318","          8404412065.65","     154824","    3229832","         55.69"
"RELIANCE","EQ","06-Nov-2019","       1447.30","       1442.70","       1446.45","       1428.50","       1433.00","       1434.90","       1436.25","    6686289","          9603195008.95","     158809","    3953109","         59.12"
"RELIANCE","EQ","07-Nov-2019","       1434.90","       1435.00","       1463.00","       1432.20","       1461.00","       1458.60","       1448.68","    6438749","          9327688345.55","     135012","    3465630","         53.82"
"RELIANCE","EQ","08-Nov-2019","       1458.60","       1449.00","       1459.65","       1441.30","       1446.00","       1445.50","       1448.50","    5494844","          7959284446.45","     141759","    2437863","         44.37"
"RELIANCE","EQ","11-Nov-2019","       1445.50","       1439.10","       1444.25","       1422.55","       1427.80","       1427.80","       1431.40","    5192423","          7432416174.60","     145722","    2643548","         50.91"
"RELIANCE","EQ","13-Nov-2019","       1427.80","       1430.00","       1475.90","       1430.00","       1469.10","       1472.30","       1460.74","   11532364","         16845751336.90","     213111","    4972794","         43.12"
"RELIANCE","EQ","14-Nov-2019","       1472.30","       1476.00","       1481.60","       1455.80","       1458.25","       1462.75","       1466.92","    6518339","          9561881076.55","     127557","    2601168","         39.91"
"RELIANCE","EQ","15-Nov-2019","       1462.75","       1465.65","       1486.80","       1463.15","       1466.80","       1470.85","       1476.84","    7173674","         10594340066.20","     152000","    3241407","         45.18"
"RELIANCE","EQ","18-Nov-2019","       1470.85","       1472.65","       1486.00","       1455.40","       1460.05","       1459.20","       1468.40","    6435097","          9449287322.40","     128242","    3180530","         49.42"
"RELIANCE","EQ","19-Nov-2019","       1459.20","       1467.00","       1514.90","       1465.00","       1511.55","       1509.75","       1496.45","   13795569","         20644325394.65","     285115","    4937220","         35.79"
"RELIANCE","EQ","20-Nov-2019","       1509.75","       1555.05","       1572.40","       1543.20","       1548.50","       1547.65","       1559.65","   19904164","         31043534027.20","     376334","    8724272","         43.83"
"RELIANCE","EQ","21-Nov-2019","       1547.65","       1545.00","       1556.00","       1528.55","       1540.50","       1537.60","       1538.44","    6810577","         10477684602.20","     160090","    2929568","         43.01"
"RELIANCE","EQ","22-Nov-2019","       1537.60","       1542.10","       1569.50","       1537.60","       1548.05","       1546.50","       1551.32","   10218978","         15852947451.80","     200632","    4268321","         41.77"
"RELIANCE","EQ","25-Nov-2019","       1546.50","       1551.15","       1564.80","       1551.00","       1562.00","       1561.55","       1559.10","    6924313","         10795666734.40","     119670","    3320341","         47.95"
"RELIANCE","EQ","26-Nov-2019","       1561.55","       1568.10","       1576.35","       1556.00","       1561.20","       1560.25","       1563.16","   16152137","         25248383481.15","     218748","   11981538","         74.18"
"RELIANCE","EQ","27-Nov-2019","       1560.25","       1559.95","       1575.50","       1556.10","       1575.10","       1569.85","       1564.27","    4408336","          6895829807.95","     107469","    1986795","         45.07"
"RELIANCE","EQ","28-Nov-2019","       1569.85","       1572.65","       1584.15","       1563.95","       1582.00","       1580.30","       1576.23","    6284885","          9906407921.85","     163816","    2661145","         42.34"
"RELIANCE","EQ","29-Nov-2019","       1580.30","       1581.95","       1581.95","       1547.85","       1553.00","       1551.15","       1558.76","    8484822","         13225831193.95","     237128","    5173503","         60.97"
"RELIANCE","EQ","02-Dec-2019","       1551.15","       1600.00","       1614.45","       1577.00","       1586.90","       1586.50","       1592.74","   14275186","         22736671350.65","     273497","    6992944","         48.99"
"RELIANCE","EQ","03-Dec-2019","       1586.50","       1592.75","       1594.00","       1572.60","       1582.00","       1578.90","       1580.07","    5938786","          9383687343.45","     132025","    3133860","         52.77"
"RELIANCE","EQ","04-Dec-2019","       1578.90","       1573.00","       1577.50","       1533.75","       1554.50","       1552.70","       1551.77","    9594828","         14888958079.40","     246981","    4608716","         48.03"
"RELIANCE","EQ","05-Dec-2019","       1552.70","       1574.00","       1579.75","       1544.00","       1551.00","       1550.85","       1561.41","    9117022","         14235446632.55","     217414","    3598940","         39.47"
"RELIANCE","EQ","06-Dec-2019","       1550.85","       1553.00","       1568.00","       1541.10","       1554.50","       1554.90","       1555.30","    5982129","          9304004869.50","     127437","    1885092","         31.51"
"RELIANCE","EQ","09-Dec-2019","       1554.90","       1556.15","       1577.40","       1546.50","       1572.95","       1572.60","       1565.26","    5779807","          9046924671.40","     142669","    2531122","         43.79"
"RELIANCE","EQ","10-Dec-2019","       1572.60","       1572.05","       1573.60","       1554.15","       1564.90","       1561.95","       1561.68","    4650906","          7263249188.05","     135279","    2193614","         47.17"
